nome;uf;cod_tse;cod_ibge
PORTO LUCENA;RS;88030;4315008
PORTO ALEGRE;RS;88013;4314902
PORT?O;RS;87998;4314803
PONTE PRETA;RS;87440;4314787
PONT?O;RS;87424;4314779
PO?O DAS ANTAS;RS;86126;4314753
PLANALTO;RS;87971;4314704
PIRATINI;RS;87955;4314605
PIRAP?;RS;84778;4314555
PINTO BANDEIRA;RS;89540;4314548
PINHEIRO MACHADO;RS;87939;4314506
PINHEIRINHO DO VALE;RS;87408;4314498
PINHAL GRANDE;RS;87386;4314472
PINHAL DA SERRA;RS;89362;4314464
PINHAL;RS;85340;4314456
PICADA CAF?;RS;87360;4314423
PELOTAS;RS;87912;4314407
PEJU?ARA;RS;87890;4314308
PEDRO OS?RIO;RS;87874;4314209
PEDRAS ALTAS;RS;89567;4314175
PAVERAMA;RS;85146;4314159
PAULO BENTO;RS;89346;4314134
PASSO FUNDO;RS;87858;4314100
PASSO DO SOBRADO;RS;87343;4314076
PASSA SETE;RS;88889;4314068
PAROB?;RS;98256;4314050
PARECI NOVO;RS;87327;4314035
PARA?SO DO SUL;RS;85987;4314027
PARA?;RS;87831;4314001
